Date,Open,Close,delta,% delta,mean,median,
10/3/2023,4269.75,4229.450195,-58.940,-1.37%,,,
10/4/2023,4233.830078,4263.75,34.300,0.81%,,,
10/5/2023,4259.310059,4258.189941,-5.560,-0.13%,,,
10/6/2023,4234.790039,4308.5,50.310,1.18%,,,
10/9/2023,4289.02002,4335.660156,27.160,0.63%,,,
10/10/2023,4339.75,4358.240234,22.580,0.52%,,,
10/11/2023,4366.589844,4376.950195,18.710,0.43%,,,
10/12/2023,4380.939941,4349.609863,-27.340,-0.62%,,,
10/13/2023,4360.490234,4327.779785,-21.830,-0.50%,,,
10/16/2023,4342.370117,4373.629883,45.850,1.06%,,,
10/17/2023,4345.22998,4373.200195,-0.430,-0.01%,,,
10/18/2023,4357.350098,4314.600098,-58.600,-1.34%,,,
10/19/2023,4321.359863,4278,-36.600,-0.85%,,,
10/20/2023,4273.850098,4224.160156,-53.840,-1.26%,,,
10/23/2023,4210.399902,4217.040039,-7.120,-0.17%,,,
10/24/2023,4235.790039,4247.680176,30.640,0.73%,,,
10/25/2023,4232.419922,4186.77002,-60.910,-1.43%,,,
10/26/2023,4175.990234,4137.22998,-49.540,-1.18%,,,
10/27/2023,4152.930176,4117.370117,-19.860,-0.48%,,,
10/30/2023,4139.390137,4166.819824,49.450,1.20%,,,
10/31/2023,4171.330078,4193.799805,26.980,0.65%,,,
11/1/2023,4201.27002,4237.859863,44.060,1.05%,,,
11/2/2023,4268.259766,4317.779785,79.920,1.89%,,,
11/3/2023,4334.22998,4358.339844,40.560,0.94%,,,
11/6/2023,4364.27002,4365.97998,7.640,0.18%,,,
11/7/2023,4366.209961,4378.379883,12.400,0.28%,,,
11/8/2023,4384.370117,4382.779785,4.400,0.10%,,,
11/9/2023,4391.410156,4347.350098,-35.430,-0.81%,,,
11/10/2023,4364.149902,4415.240234,67.890,1.56%,,,
11/13/2023,4406.660156,4411.549805,-3.690,-0.08%,,,
11/14/2023,4458.970215,4495.700195,84.150,1.91%,,,
11/15/2023,4505.299805,4502.879883,7.180,0.16%,,,
11/16/2023,4497.080078,4508.240234,5.360,0.12%,,,
11/17/2023,4509.549805,4514.02002,5.780,0.13%,,,
11/20/2023,4511.700195,4547.379883,33.360,0.74%,,,
11/21/2023,4538.77002,4538.189941,-9.190,-0.20%,,,
11/22/2023,4553.040039,4556.620117,18.430,0.41%,,,
11/24/2023,4555.839844,4559.339844,2.720,0.06%,,,
11/27/2023,4554.859863,4550.430176,-8.910,-0.20%,,,
11/28/2023,4545.549805,4554.890137,4.460,0.10%,,,
11/29/2023,4571.839844,4550.580078,-4.310,-0.09%,,,
11/30/2023,4554.870117,4567.799805,17.220,0.38%,,,
12/1/2023,4559.430176,4594.629883,26.830,0.59%,,,
12/4/2023,4564.370117,4569.779785,-24.850,-0.54%,,,
12/5/2023,4557.25,4567.180176,-2.600,-0.06%,,,
12/6/2023,4586.22998,4549.339844,-17.840,-0.39%,,,
12/7/2023,4568.839844,4585.589844,36.250,0.80%,,,
12/8/2023,4576.200195,4604.370117,18.780,0.41%,,,
12/11/2023,4593.390137,4622.439941,18.070,0.39%,,,
12/12/2023,4618.299805,4643.700195,21.260,0.46%,,,
12/13/2023,4646.200195,4707.089844,63.390,1.37%,,,
12/14/2023,4721.040039,4719.549805,12.460,0.26%,,,
12/15/2023,4714.22998,4719.189941,-0.360,-0.01%,,,
12/18/2023,4725.580078,4740.560059,21.370,0.45%,,,
12/19/2023,4743.720215,4768.370117,27.810,0.59%,,,
